bill_id,bill_number,title,description,status,status_date,session_id,state_id,state,body_id,current_body_id,subjects,texts,full_text,processed_text
1696211,HF1373,"Consumer choice of fuel provided, rulemaking authority modified, and Clean Car rules eliminated.","Consumer choice of fuel provided, rulemaking authority modified, and Clean Car rules eliminated.",1,2023-02-06,1986,23,MN,55,55,[],"[{'doc_id': 2683228, 'date': '2023-02-06', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF1373/id/2683228', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF1373&version=0&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 362407, 'text_hash': '0840591ab322b69e4f9c0e5201e64fd6', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",consumer choice of fuel provided  rulemaking authority modified  and clean car rules eliminated  consumer choice of fuel provided  rulemaking authority modified  and clean car rules eliminated ,consumer choice fuel provided rulemaking authority modified clean car rule eliminated consumer choice fuel provided rulemaking authority modified clean car rule eliminated
1862762,HF4800,Original equipment manufacturer required to facilitate repair of farm equipment.,Original equipment manufacturer required to facilitate repair of farm equipment.,1,2024-03-11,1986,23,MN,55,55,[],"[{'doc_id': 2956902, 'date': '2024-03-08', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF4800/id/2956902', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF4800&version=0&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 308388, 'text_hash': 'e68b295358bfaf45a61f1c7ac79063f6', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",original equipment manufacturer required to facilitate repair of farm equipment  original equipment manufacturer required to facilitate repair of farm equipment ,original equipment manufacturer required facilitate repair farm equipment original equipment manufacturer required facilitate repair farm equipment
1862691,HF4790,State Board of Investment standards to require sustainable investing modified.,State Board of Investment standards to require sustainable investing modified.,1,2024-03-11,1986,23,MN,55,55,[],"[{'doc_id': 2956837, 'date': '2024-03-08', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF4790/id/2956837', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF4790&version=0&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 276695, 'text_hash': '370dcf7401b22e73fc7c1866446991f9', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",state board of investment standards to require sustainable investing modified  state board of investment standards to require sustainable investing modified ,state board investment standard require sustainable investing modified state board investment standard require sustainable investing modified
1642978,HF30,"Catalytic converter purchase or acquisition requirements established, penalties provided, and money appropriated.","Catalytic converter purchase or acquisition requirements established, penalties provided, and money appropriated.",4,2023-03-16,1986,23,MN,55,55,[],"[{'doc_id': 2623214, 'date': '2023-01-04', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF30/id/2623214', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF30&version=0&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 279923, 'text_hash': 'c1e946d91e815a3ec6f34a7c6321d431', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2689456, 'date': '2023-02-08', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF30/id/2689456', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF30&version=1&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 299340, 'text_hash': '568f7b4e4ad70e45e6adc81f0fd603aa', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2699813, 'date': '2023-02-15', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF30/id/2699813', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF30&version=2&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 304724, 'text_hash': 'a62f57906d0aef4f41f9faa25a474739', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2736177, 'date': '2023-03-09', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF30/id/2736177', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF30&version=3&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 341813, 'text_hash': '27fc186a9bca2252726f51428b696ce8', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",catalytic converter purchase or acquisition requirements established  penalties provided  and money appropriated  catalytic converter purchase or acquisition requirements established  penalties provided  and money appropriated ,catalytic converter purchase acquisition requirement established penalty provided money appropriated catalytic converter purchase acquisition requirement established penalty provided money appropriated
1856477,HF4331,"Metropolitan Council abolished, duties transferred to other departments, public safety radio communication law and fiscal disparity law conforming amendments made, payment of bonds and other debt obligations provided, metro area sanitary sewer district created, and money appropriated.","Metropolitan Council abolished, duties transferred to other departments, public safety radio communication law and fiscal disparity law conforming amendments made, payment of bonds and other debt obligations provided, metro area sanitary sewer district created, and money appropriated.",1,2024-02-28,1986,23,MN,55,55,[],"[{'doc_id': 2944327, 'date': '2024-02-27', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF4331/id/2944327', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF4331&version=0&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 4192634, 'text_hash': '911fcfab687feb0a08e81ee53f6b3a35', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",metropolitan council abolished  duties transferred to other departments  public safety radio communication law and fiscal disparity law conforming amendments made  payment of bonds and other debt obligations provided  metro area sanitary sewer district created  and money appropriated  metropolitan council abolished  duties transferred to other departments  public safety radio communication law and fiscal disparity law conforming amendments made  payment of bonds and other debt obligations provided  metro area sanitary sewer district created  and money appropriated ,metropolitan council abolished duty transferred department public safety radio communication law fiscal disparity law conforming amendment made payment bond debt obligation provided metro area sanitary sewer district created money appropriated metropolitan council abolished duty transferred department public safety radio communication law fiscal disparity law conforming amendment made payment bond debt obligation provided metro area sanitary sewer district created money appropriated
1854078,SF4255,Metropolitan Council abolishment,Metropolitan Council abolishment,1,2024-02-26,1986,23,MN,56,56,[],"[{'doc_id': 2940043, 'date': '2024-02-23', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/SF4255/id/2940043', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=SF4255&version=0&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 4227587, 'text_hash': 'cd689db49e3e42dcedfbeab9c4c728a7', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",metropolitan council abolishment metropolitan council abolishment,metropolitan council abolishment metropolitan council abolishment
1665537,SF442,Environment and natural resources trust fund appropriations; reporting and capital construction requirements modification; prior appropriations modifications,Environment and natural resources trust fund appropriations; reporting and capital construction requirements modification; prior appropriations modifications,1,2023-01-19,1986,23,MN,56,56,[],"[{'doc_id': 2647389, 'date': '2023-01-17', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/SF442/id/2647389', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=SF442&version=0&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 808571, 'text_hash': 'a09bd4a32cf945eb4653bc5211093ffa', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2703691, 'date': '2023-02-16', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/SF442/id/2703691', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=SF442&version=1&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 810258, 'text_hash': 'eb7e63d2552daf76d113a6d3591b4ca3', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",environment and natural resources trust fund appropriations  reporting and capital construction requirements modification  prior appropriations modifications environment and natural resources trust fund appropriations  reporting and capital construction requirements modification  prior appropriations modifications,environment natural resource trust fund appropriation reporting capital construction requirement modification prior appropriation modification environment natural resource trust fund appropriation reporting capital construction requirement modification prior appropriation modification
1852135,SF4053,Minnesota Cooperative Housing Act,Minnesota Cooperative Housing Act,1,2024-02-22,1986,23,MN,56,56,[],"[{'doc_id': 2936545, 'date': '2024-02-20', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/SF4053/id/2936545', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=SF4053&version=0&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 1654388, 'text_hash': '50bf441bb93c94d0b283f8dbab23203e', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2953722, 'date': '2024-03-07', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/SF4053/id/2953722', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=SF4053&version=1&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 1784104, 'text_hash': '4ee2340a3038d59cce70f737a9c41625', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",minnesota cooperative housing act minnesota cooperative housing act,minnesota cooperative housing act minnesota cooperative housing act
1843547,HF3577,"Packaging Waste and Cost Reduction Act established, and rulemaking authorized.","Packaging Waste and Cost Reduction Act established, and rulemaking authorized.",1,2024-02-12,1986,23,MN,55,55,[],"[{'doc_id': 2923830, 'date': '2024-02-06', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF3577/id/2923830', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF3577&version=0&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 681202, 'text_hash': '6f88dcb7d4fe9fd471ff9bd705d63b93', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2938796, 'date': '2024-02-22', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF3577/id/2938796', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF3577&version=1&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 698420, 'text_hash': '998da5c527db78007d6075569d75d4b8', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2949887, 'date': '2024-03-04', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF3577/id/2949887', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF3577&version=2&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 728785, 'text_hash': 'ba9cbefea93980c533eee59d4fbe0e0b', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2960525, 'date': '2024-03-14', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF3577/id/2960525', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF3577&version=3&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 728971, 'text_hash': '75a0a9b3d337ac53f6a9aaa0403bb46c', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}, {'doc_id': 2967458, 'date': '2024-03-25', 'type': 'Engrossed', 'type_id': 4, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/HF3577/id/2967458', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=HF3577&version=4&session=ls93&session_year=2024&session_number=0&format=pdf', 'text_size': 783534, 'text_hash': '361e4abcff3cd6a26cf76930087e4cd1', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",packaging waste and cost reduction act established  and rulemaking authorized  packaging waste and cost reduction act established  and rulemaking authorized ,packaging waste cost reduction act established rulemaking authorized packaging waste cost reduction act established rulemaking authorized
1726974,SF2527,Consumer Choice of Fuel Act,Consumer Choice of Fuel Act,1,2023-03-06,1986,23,MN,56,56,[],"[{'doc_id': 2727110, 'date': '2023-03-02', 'type': 'Introduced', 'type_id': 1, 'mime': 'application/pdf', 'mime_id': 2, 'url': 'https://legiscan.com/MN/text/SF2527/id/2727110', 'state_link': 'https://www.revisor.mn.gov/bills/text.php?number=SF2527&version=0&session=ls93&session_year=2023&session_number=0&format=pdf', 'text_size': 353761, 'text_hash': '75eaed279c03257c152f15d1326d7309', 'alt_bill_text': 0, 'alt_mime': '', 'alt_mime_id': 0, 'alt_state_link': '', 'alt_text_size': 0, 'alt_text_hash': ''}]",consumer choice of fuel act consumer choice of fuel act,consumer choice fuel act consumer choice fuel act
