public_metrics,text,conversation_id,edit_history_tweet_ids,lang,referenced_tweets,author_id,context_annotations,created_at,tweet_id,in_reply_to_user_id,geo,metrics,total_engagement,log_engage,processed_tweet,positive,neutral,negative
"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @RestartProject: It appears the government is yet to grasp fully the scale of the e-waste tsunami,"" says @Dunne4Ludlow, chair of Parliam…",1.7676567606077197e+18,['1767656760607719717'],en,"[{'type': 'retweeted', 'id': '1767483408089833786'}]",1333595515.0,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070735149568942080', 'name': 'Philip Dunne', 'description': 'British politician'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1070735149568942080', 'name': 'Philip Dunne', 'description': 'British politician'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070735149568942080', 'name': 'Philip Dunne', 'description': 'British politician'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '155', 'name': 'Weather', 'description': 'Weather-related topics like Boston weather or Earthquakes'}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '175', 'name': 'Emergency Events', 'description': ''}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}]",2024-03-12T20:59:47.000Z,1767656760607719717,,,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",6,1.9459101490553128,rt appears government yet grasp fully scale e waste tsunami say chair parliam,0.32102135,0.646973,0.03200567
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}","@davidfickling @IEA Rich countries import mountains of future e-waste from China and calls it a power plant and nobody bats an eye. 

Energy starved developing nations import nuclear reactors from China and everyone cries “but what about your/their national security”.",1.767438021199356e+18,['1767645630338584718'],en,"[{'type': 'replied_to', 'id': '1767438021199355998'}]",1.0622525564523151e+18,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1412579054855671809', 'name': 'Google Innovation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847543836330958848', 'name': 'Global security & terrorism', 'description': 'Global conversation about threats of terrorism, response of governments, and national security  '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}]",2024-03-12T20:15:34.000Z,1767645630338584718,233913342.0,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}",4,1.6094379124341005,rich country import mountain future e waste china call power plant nobody bat eye energy starved developing nation import nuclear reactor china everyone cry national security,0.45223594,0.49739787,0.050366253
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",RT @M_Star_Online: Government failing to take Britain's ‘e-waste tsunami’ seriously https://t.co/sHyoWBJssU,1.7676439499617856e+18,['1767643949961785639'],en,"[{'type': 'retweeted', 'id': '1767629171155476724'}]",1.2783350047797125e+18,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '155', 'name': 'Weather', 'description': 'Weather-related topics like Boston weather or Earthquakes'}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '175', 'name': 'Emergency Events', 'description': ''}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}]",2024-03-12T20:08:53.000Z,1767643949961785639,,,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",2,1.0986122886681098,rt government failing take britain e waste tsunami seriously,0.8722481,0.12071618,0.007035725
"{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @caniravkaria: This may be beginning of E-waste theme ...

Don't miss this theme...

Kachre main Sona milega 🥇🪙 (see this news for refer…",1.7676400572324705e+18,['1767640057232470519'],en,"[{'type': 'retweeted', 'id': '1767577322159489191'}]",8.014157358597612e+17,,2024-03-12T19:53:25.000Z,1767640057232470519,,,"{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",20,3.044522437723423,rt may beginning e waste theme miss theme kachre main sona milega see news refer,0.26610118,0.7078486,0.02605018
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @ahier: Pulling gold out of e-waste suddenly becomes super-profitable  

https://t.co/OHW5COmxR5 https://t.co/2wQ7jwAe6I",1.7676393655203884e+18,['1767639365520388344'],en,"[{'type': 'retweeted', 'id': '1766786578079261136'}]",18244332.0,,2024-03-12T19:50:40.000Z,1767639365520388344,,,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",2,1.0986122886681098,rt pulling gold e waste suddenly becomes super profitable,0.076413415,0.46323562,0.4603509
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 222}","@JessePeltan @OurWorldInData Don't worry, energy will be so cheap &amp; the value created will cover the cost of recycling..
https://t.co/XTtli1KTgb",1.7676082982142362e+18,['1767632999259279697'],en,"[{'type': 'replied_to', 'id': '1767608298214236185'}]",1.6739185799081697e+18,,2024-03-12T19:25:22.000Z,1767632999259279697,1.1238087975569204e+18,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 222}",222,5.407171771460119,worry energy cheap amp value created cover cost recycling,0.11079031,0.63213575,0.25707388
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 20}",@Starcommander10 @getpeid They should just have a checkbox on the website to include a charging brick if you want one (at no cost). Many people don’t want the clutter and e-waste but giving an option is a good alternative.,1.7675192515719173e+18,['1767631372124844398'],en,"[{'type': 'replied_to', 'id': '1767610421975158955'}]",24617345.0,,2024-03-12T19:18:54.000Z,1767631372124844398,7.415220290320015e+17,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 20}",21,3.091042453358316,checkbox website include charging brick want one cost many people want clutter e waste giving option good alternative,0.07132566,0.42822093,0.5004534
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @NeoHoldingG: At @aspen_climate bringing solutions to the electronic waste problem in USA 🌎

@aspenideas 
@EdmersonVasquez
@GloriaMartJ…",1.767629878294086e+18,['1767629878294086083'],en,"[{'type': 'retweeted', 'id': '1767625033352978618'}]",1.623081385115132e+18,,2024-03-12T19:12:58.000Z,1767629878294086083,,,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",1,0.6931471805599453,rt bringing solution electronic waste problem usa,0.08381166,0.718367,0.19782147
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 731}",Government failing to take Britain's ‘e-waste tsunami’ seriously https://t.co/sHyoWBJssU,1.7676291711554767e+18,['1767629171155476724'],en,,36364025.0,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '155', 'name': 'Weather', 'description': 'Weather-related topics like Boston weather or Earthquakes'}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}, {'domain': {'id': '175', 'name': 'Emergency Events', 'description': ''}, 'entity': {'id': '1332265012266631169', 'name': 'Tsunamis'}}]",2024-03-12T19:10:10.000Z,1767629171155476724,,,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 731}",734,6.5998704992128365,government failing take britain e waste tsunami seriously,0.87088615,0.121866055,0.0072478456
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 12}","At @aspen_climate bringing solutions to the electronic waste problem in USA 🌎

@aspenideas 
@EdmersonVasquez
@GloriaMartJ
@3_cycle https://t.co/HVRmMSq0WZ",1.7676250333529787e+18,['1767625033352978618'],en,,1.0145536097600676e+18,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}]",2024-03-12T18:53:43.000Z,1767625033352978618,,,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 12}",14,2.70805020110221,bringing solution electronic waste problem usa,0.29924595,0.6377044,0.06304973
